RecAreaName,RecAreaLatitude,RecAreaLongitude
"Arches National Park",38.7331,-109.5925
"Black Canyon Of The Gunnison National Park",38.5754,-107.7416
"Carlsbad Caverns National Park",32.1479,-104.5567
"Denali National Park & Preserve",63.1148,-151.1926
"Gates Of The Arctic National Park & Preserve",67.9204,-153.2753
"Glacier National Park",48.7596,-113.7870
"Guadalupe Mountains National Park",31.9452,-104.8725
"Haleakalā National Park",20.7204,-156.1552
"Katmai National Park & Preserve",58.5975,-154.6937
"Lassen Volcanic National Park",40.4977,-121.4207

