RecAreaName,GEOJSON,GEOJSON.COORDINATES,GEOJSON.TYPE,Keywords,LastUpdatedDate,OrgRecAreaID,RecAreaDescription,RecAreaDirections,RecAreaEmail,RecAreaFeeDescription,RecAreaID,RecAreaLatitude,RecAreaLongitude,RecAreaMapURL,RecAreaPhone,RecAreaReservationURL,StayLimit,RecAreaName
Acadia National Park,"{'TYPE': 'Point', 'COORDINATES': [-68.2598657906, 44.374358654]}",,,,2016-10-11,,"People have been drawn to the rugged coast of Maine throughout history. Awed by its beauty and diversity, early 20th-century visionaries donated the land that became Acadia National Park. The park is home to many plants and animals, and the tallest mountain on the U.S. Atlantic coast. Today visitors come to Acadia to hike granite peaks, bike historic carriage roads, or relax and enjoy the scenery.","From Boston take I-95 north to Augusta, Maine, then Route 3 east to Ellsworth, and on to Mount Desert Island. For an alternate route, continue on I-95 north to Bangor, Maine, then take Route 1A east to Ellsworth. In Ellsworth, take Route 3 to Mount Desert Island. 

http://www.nps.gov/acad/planyourvisit/directions.htm",acadia_information@nps.gov,,2554,44.374358654,-68.2598657906,http://www.nps.gov/acad/planyourvisit/maps.htm,(207) 288 3338,,,Acadia National Park
Arches National Park,,,,,2016-10-11,,"Visit Arches and discover a landscape of contrasting colors, landforms and textures unlike any other in the world. The park has over 2,000 natural stone arches, in addition to hundreds of soaring pinnacles, massive fins and giant balanced rocks. This red rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets.","Arches National Park is located in southeast Utah:
    5 miles north of Moab, Utah
    110 miles southwest of Grand Junction, Colorado
    160 miles northwest of Durango, Colorado
    236 miles south of Salt Lake City, Utah
    360 miles southwest of Denver, Colorado

Travel by Plane
Commercial airlines serve Grand Junction, Durango, Moab and Salt Lake City.

Travel by Bus
Nationwide bus service is available to Green River, Utah (50 miles from Moab) and Grand Junction.

Travel by Train
Amtrak stops at Grand Junction and Green River.

Shuttles & Taxis
Commercial van services and taxis operate between Grand Junction, Moab and other destinations.For additional information on transportation options in and around Moab, contact the Grand County Travel Council.

Getting Around the Park
Most visits to Arches involve traveling by personal vehicle along the scenic drive, which provides access to many viewpoints and trailheads. The park does not provide a shuttle bus service.",archinfo@nps.gov,,2573,38.7331,-109.5925,http://www.nps.gov,,,,Arches National Park
Badlands National Park,"{'TYPE': 'Point', 'COORDINATES': [-101.942207739, 43.7489325553]}",,,,2016-10-11,,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world's richest fossil beds. Ancient mammals such as the rhino, horse, and saber-toothed cat once roamed here. The park's 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.",,badl_information@nps.gov,,2578,43.7489325553,-101.942207739,http://www.nps.gov/badl/planyourvisit/maps.htm,,,,Badlands National Park
Big Bend National Park,"{'TYPE': 'Point', 'COORDINATES': [-103.207245469, 29.3290000409]}",,,,2016-10-11,,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and diversity of species is the best in the country. This magical place is Big Bend.","Several Texas highways lead to Big Bend National Park: If traveling south from Alpine, TX, follow TX 118 through Study Butte, TX where the highway enters the park through Maverick Entrance Station. Park headquarters is 23 miles from this west entrance. If traveling from the west, follow Texas FM 170 from Presidio, TX to Study Butte, TX, then turn right on TX 118 to enter the park through the west entrance. If traveling from the east, take US 385 south from Marathon, TX which enters the park through the north entrance at Persimmon Gap. Persimmon Gap is 26 miles from park headquarters.",bibe_info@nps.gov,,2584,29.3290000409,-103.207245469,http://www.nps.gov/bibe/planyourvisit/maps.htm,(432) 477 2251,,,Big Bend National Park
Biscayne National Park,"{'TYPE': 'Point', 'COORDINATES': [-80.2179336548, 25.4829769135]}",,,,2016-10-11,,"Within sight of downtown Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Here too is evidence of 10,000 years of human history, from pirates and shipwrecks to pineapple farmers and presidents. Outdoors enthusiasts can boat, snorkel, camp, watch wildlife...or simply relax in a rocking chair gazing out over the bay.","<p>Physical Address<br />
9700 SW 328 Street<br />
Homestead, Florida 33033</p>
<p>From the North <br />
Convoy Point can be reached from either the Florida Turnpike or from US-1.<br />
• From the Florida Turnpike: Take the Florida Turnpike south, to Exit 6 (Speedway Blvd.). Turn left from exit ramp and continue south to S.W. 328th Street (North Canal Drive). Turn left and continue to the end of the road. It is approximately five miles, and the entrance is on the left.<br />
• From US-1: Drive south to Homestead. Turn left on SW 328th Street (North Canal Drive), and continue to the end of the road. It is approximately nine miles, and the entrance is on the left.<br />
From the South<br />
Traveling on US-1 (Overseas Highway), drive north to Homestead. Turn right on SW 328th Street (North Canal Drive — first light after Florida Turnpike entrance), and continue to the end of the road. The entrance is approximately nine miles on the left.<br />
 </p>",bisc_information@nps.gov,,2588,25.4829769135,-80.2179336548,http://www.nps.gov/bisc/planyourvisit/maps.htm,,,,Biscayne National Park
Black Canyon Of The Gunnison National Park,,,,,2016-10-11,,"Big enough to be overwhelming, still intimate enough to feel the pulse of time, Black Canyon of the Gunnison exposes you to some of the steepest cliffs, oldest rock, and craggiest spires in North America. With two million years to work, the Gunnison River, along with the forces of weathering, has sculpted this vertical wilderness of rock, water, and sky.","<p>Black Canyon of the Gunnison National Park is located approximately 250 miles southwest of Denver.</p>
<p>South Rim: 15 miles east of Montrose, via U.S. Highway 50 and CO Highway 347<br />
North Rim: 11 miles south of Crawford, via CO Highway 92 and North Rim Road (unpaved)</p>
<p>There is no bridge between the north and south rims of the canyon. Allow two to three hours to drive from one side to the other.</p>
<p>PUBLIC TRANSPORTATION <br />
By bus: To Montrose or Grand Junction<br />
By train: To Grand Junction<br />
There is no public transportation within the park.</p>
<p>PLANE<br />
Commercial airline service is available to Montrose, Gunnison and Grand Junction.</p>
<p> </p>",CURE_Info@nps.gov,,2592,38.5754,-107.7416,http://www.nps.gov/blca/planyourvisit/maps.htm,(970) 641 2337,,,Black Canyon Of The Gunnison National Park
Bryce Canyon National Park,"{'TYPE': 'Point', 'COORDINATES': [-112.169951499, 37.6392057538]}",,,,2016-10-11,,"There is no place like Bryce Canyon. Hoodoos (odd-shaped pillars of rock left standing from the forces of erosion) can be found on every continent, but here is the largest collection of hoodoos in the world! Descriptions fail. Cave without a roof? Forest of stone? Photographs do not do it justice. An imagination of wonder will serve you when visiting Bryce Canyon National Park.",http://www.nps.gov/brca/planyourvisit/directions.htm,brca_information@nps.gov,,2599,37.6392057538,-112.169951499,http://www.nps.gov/brca/planyourvisit/maps.htm,,,,Bryce Canyon National Park
Canyonlands National Park,,"[-109.856624603, 38.3121026863]",Point,,2016-10-11,,"Canyonlands invites you to explore a wilderness of countless canyons and fantastically formed buttes carved by the Colorado River and its tributaries. Rivers divide the park into four districts: the Island in the Sky, the Needles, the Maze, and the rivers themselves. These areas share a primitive desert atmosphere, but each offers different opportunities for sightseeing and adventure.","Car
There are two paved entrances into Canyonlands: Highway 313 leads to the Island in the Sky, while Highway 211 leads to the Needles. Roads to the Maze are a mixture of graded dirt and 4WD and may become impassable when wet.

Plane
Commercial airlines serve Grand Junction, CO and Salt Lake City, UT. By car, these cities are at least 2 and 4 hours (respectively) away from the closest park entrance (Island in the Sky). Commercial air service is also available between Denver and Moab.

Bus
Greyhound travels along Interstate 70, making stops at Grand Junction, CO and Green River, UT. Commercial vans/shuttles operate between Moab and Salt Lake City as well as Grand Junction.

Train
Amtrak stops at Grand Junction, CO and Green River, UT. Commercial van services operate between Grand Junction and Moab.

Public Transportation
There is no public transportation to Canyonlands.",canyinfo@nps.gov,,2616,38.3121026863,-109.856624603,http://www.nps.gov/cany/planyourvisit/maps.htm,,,,Canyonlands National Park
Capitol Reef National Park,,"[-111.261219024, 38.2906477893]",Point,,2016-10-11,,"Located in south-central Utah in the heart of red rock country, Capitol Reef National Park is a hidden treasure filled with cliffs, canyons, domes and bridges in the Waterpocket Fold, a geologic monocline (a wrinkle on the earth) extending almost 100 miles.","<p>Directions to Capitol Reef National Park</p>
<p>Traveling westbound on Interstate 70: Take Utah State Highway 24 west towards Hanksville (exit 149). Stay on Highway 24 for 95 miles to reach the park Visitor Center.</p>
<p>Traveling on Interstate 15: Take US Highway 50 east at Scipio (exit 188) towards Salina for 30 miles. At the junction with Utah State Highway 89/259, turn right (south) and travel 8 miles. Turn left (east) onto Utah State Highway 24 towards Sigurd. Continue on Highway 24 for 82 miles to reach the park Visitor Center.<br />
 </p>",CARE_Interpretation@nps.gov,,2617,38.2906477893,-111.261219024,http://www.nps.gov,(435) 425 3791,,,Capitol Reef National Park
Carlsbad Caverns National Park,,,,,2016-10-11,,"High ancient sea ledges, deep rocky canyons, flowering cactus and desert wildlife - treasures above the ground in the Chihuahuan Desert. Hidden beneath the surface are more than 119 known caves - all formed when sulfuric acid dissolved the surrounding limestone leaving behind caverns of all sizes.


**Check out our new ""Park Ranger Blog"" feature! Learn all about the park from a ranger's viewpoint.",,cave_park_information@nps.gov,,2622,32.1479,-104.5567,http://www.nps.gov/cave/planyourvisit/maps.htm,(575) 785 2232,,,Carlsbad Caverns National Park
